Code,Academic Year,Degree,same_as_wikidata_degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2503750,2024-2025,psychology,https://wikidata.org/entity/Q9418,1dbf16cf2b18c692ccb138a92b59584b,aeaa439db599d073395f84fb7fa10a54,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2501298,2024-2025,Relaciones Laborales y Recursos Humanos,,e048bd2a6bf266f87d8b666f692aef46,aeaa439db599d073395f84fb7fa10a54,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501667,2024-2025,Sociología Aplicada,,88d88ba85f4f05b9700171ff9c408a93,aeaa439db599d073395f84fb7fa10a54,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501668,2024-2025,Trabajo Social,,85c06ae93b7619828e72d7f204767cc7,aeaa439db599d073395f84fb7fa10a54,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
4313592,2024-2025,Acceso a la Abogacía y a la Procura,,d158579dea98d0dd1055778774ee5742,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4318503,2024-2025,"Asesoramiento Fiscal, Laboral y Contable",,c51c1144aae98482142b6519934d0ce6,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500105,2024-2025,computer security,https://wikidata.org/entity/Q3510521,ce4e3d830afbbc04b96d7e5d523fc97c,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4318489,2024-2025,Comunicaciones Avanzadas y Visión Artificial,,036f19443052c9c59133e200d1d4288a,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4313416,2024-2025,business administration and management,https://wikidata.org/entity/Q8188423,67124c58982e8fb1f62a7dcbd40b05e1,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500311,2024-2025,Energías Renovables: Conversión Eléctrica e Integración en Red de Sistemas Eólicos y Fotovoltaicos,,e742a62dc8a3037676a1e8ec02984e6b,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4311914,2024-2025,Energías Renovables: Generación Eléctrica,,946fce30bfde8e0c8a2f10b01c33823b,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4318107,2024-2025,"Género, Mujeres e Igualdad",,3248d788d9e32ab24e858a425fe3e055,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4314534,2024-2025,Gestión por Procesos con Sistemas Integrados de Información (ERP),,bd05f3fcc8390c13cd3f39de79465f73,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500106,2024-2025,Historia y Memoria,,e21131f410a10313cf6bc77cdc8291e2,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,72ceb55b13672d5fdbac7ce07f1e85a8
4314005,2024-2025,agronomy,https://wikidata.org/entity/Q173113,6c134f579687a18ee30e23f6f2ab365c,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4318490,2024-2025,biomedical engineering,https://wikidata.org/entity/Q327092,81154f1352ba6efa13eb6054740efea3,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4312005,2024-2025,metallurgical engineering,https://wikidata.org/entity/Q5916079,e0a93786b35bbdeb2d65d89425b0e575,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4314856,2024-2025,telecommunications engineering,https://wikidata.org/entity/Q1061219,fe83eb43d30a197266945d6bbf3b7074,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4314617,2024-2025,industrial engineering,https://wikidata.org/entity/Q4489420,a21ccd234928ffd63ea402e7e06fee38,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4314552,2024-2025,computer engineering,https://wikidata.org/entity/Q428691,26ac37014ff123841076d0375b034e95,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4312006,2024-2025,Ingeniería Mecánica Aplicada y Computacional,,266a58bd5333080a374c334109ad6ae3,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4318486,2024-2025,international business,https://wikidata.org/entity/Q3681519,3be51c8048bdcbdfbf921c25c2cbaada,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4311913,2024-2025,"Intervención Social con Individuos, Familias y Grupos",,a5140bd0463a153f40300d04b23532e4,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4318568,2024-2025,Investigación e Innovación en Biotecnología,,ec34da575d7f7c478835dfa94a252627,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,cca488c1d5d31aa9a4c4356b47f75ebd
4311909,2024-2025,Investigación en Ciencias de la Salud,,9f7290243939e564e93a6942825f0045,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
3500381,2024-2025,machine learning,https://wikidata.org/entity/Q2539,0ff8d78639c2a257ac00c0bdefa172ee,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4312676,2024-2025,job safety analysis,https://wikidata.org/entity/Q17060300,232f89df23acae847712700a570ef801,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
4310572,2024-2025,Profesorado de Educación Secundaria,,90c251185f04c3600f0cd2d2d5b6bcbf,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,03b7c4d6f22bd8efa1659d8e6a06d97e
3500066,2024-2025,Psicología General Sanitaria,,f0c3d298c5a39dad8c9d9878cc44a525,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4311910,2024-2025,public health,https://wikidata.org/entity/Q189603,c61012d0e9b1df43c5eb564e69de9c7c,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,afc4b5d3b7e78e8fb66cf859c95aaefe
4315069,2024-2025,Sistemas de Información Geográfica y Teledetección,,c3e9e2333a34f98392025446df5e17bb,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
4316931,2024-2025,Tecnología y Sostenibilidad en la Industria Alimentaria,,19aed06566d1674dcf902a547d2c1070,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
3500310,2024-2025,Wind Energy Engineering,,2ac97ef88fdb9c8f4fdbafe69d08bfa8,aeaa439db599d073395f84fb7fa10a54,eb0a191797624dd3a48fa681d3061212,0957ac6a7296b4e6ef4d4e8d25691025
