Code,Academic Year,Degree,same_as_wikidata_degree,DegreeID,UniversityID,AcademicLevelID,AmbitID
2501472,2024-2025,audiovisual communication,https://wikidata.org/entity/Q3755147,5bc29df3d2a152e35a2df334ea24c611,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501461,2024-2025,Conservación y Restauración de Bienes Culturales,,5b1e812f02591505f9731d060ed13aa0,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,3a55b686cea34a8923b6ea395549772e
2501462,2024-2025,Creación y Diseño,,be72a17c792b3d60b582b42c20fff1c7,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501473,2024-2025,criminology,https://wikidata.org/entity/Q161733,221d89cb0a461ab9316e01549ad6de80,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501637,2024-2025,law degree,https://wikidata.org/entity/Q4115013,fae6f323ec9b55fb3619003da67fab15,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501638,2024-2025,economics,https://wikidata.org/entity/Q8134,db3db9bec3b50e87f48831600cb11c84,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501639,2024-2025,Educación Infantil,,3ce4e78ea86f8d8c6e0a080bbc70e7ce,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2501640,2024-2025,Bachelor of Teaching,https://wikidata.org/entity/Q64688824,8c346a378e8f562b3d5d96f24ea55936,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502024,2024-2025,social pedagogy,https://wikidata.org/entity/Q1572493,0c6f43f60288f0d7e1de75bf5e9d50ca,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502012,2024-2025,Bachelor of Science in Nursing,https://wikidata.org/entity/Q4838827,40314ccd60eeddc24c8a2f0580984a78,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2501392,2024-2025,English studies,https://wikidata.org/entity/Q27968,490cdb08d36765607545bbbae86fe819,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501393,2024-2025,Estudios Vascos,,b0ee6739eefbe092c24fc1453e607fb5,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501468,2024-2025,pharmacy,https://wikidata.org/entity/Q614304,a1be9494198057d1a04c9b2b6ac489bf,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2502385,2024-2025,philology,https://wikidata.org/entity/Q40634,2d6011731d1abbac5ee9b4bcfb241d44,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2501394,2024-2025,philosophy,https://wikidata.org/entity/Q5891,33d89530bafeae6b865378ea53c7857d,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,72ceb55b13672d5fdbac7ce07f1e85a8
2502387,2024-2025,finance,https://wikidata.org/entity/Q43015,c0aa2b089e45917fa31ec43926768954,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502388,2024-2025,Fiscalidad y Administración Pública,,fabca7e2eee31d881310e5ece71a31d8,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
2502389,2024-2025,physics,https://wikidata.org/entity/Q413,5d11d3b5786b59cb51a7c46318efcac9,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,cca488c1d5d31aa9a4c4356b47f75ebd
2502552,2024-2025,physiotherapy,https://wikidata.org/entity/Q186005,2a4ea77a8aa6e2e5cfaf776fd0240a3d,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,afc4b5d3b7e78e8fb66cf859c95aaefe
2502739,2024-2025,architecture,https://wikidata.org/entity/Q12271,e39871287375ef9220828806d35538de,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,0957ac6a7296b4e6ef4d4e8d25691025
2501474,2024-2025,Geografía y Ordenación del Territorio,,e75ee83efeaf1241fea783972e472b3e,d30bbd19fa77d8470334a259e060006e,d6d85d89b4612501521435bd3f620a9a,03b7c4d6f22bd8efa1659d8e6a06d97e
