Academic Year,Centre Code,Faculty,Same_as_Wikidata_faculty,Faculty ID,University,Same_as_Wikidata_University,University ID,Academic Level,Academic Level ID,Degree Code,Degree,Same_as_Wikidata_Degree,Degree ID,Knowledge Area,Knowledge Area ID,matriculados,nota_5_7,nota_7_9,nota_9_12,nota_12_14
2024-2025,30010221,Facultad de Biología (Universidad de La Laguna),https://www.wikidata.org/entity/Q5854570,dcd2478730465208260674beb6323b0b,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500722,biology,https://www.wikidata.org/entity/Q420,1240c9a2e22e7719b8cfa140ae0f835f,Ciencias,cca488c1d5d31aa9a4c4356b47f75ebd,85,0,0,68,17
2024-2025,30011387,Facultad de Ciencias del Trabajo (Universidad de Granada),https://www.wikidata.org/entity/Q19660387,2f43d31867f2aad9e169b3a8d70abc4e,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500805,Relaciones Laborales y Recursos Humanos (Murcia),,b8863c77006d6dad0cb3aafed4458f32,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,107,23,55,25,1
2024-2025,30011545,Isen Formación Universitaria,,59efebe22173b71d92ece49fc5579035,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500380,Educación Primaria (Cartagena),,0c91cbcac8c4bc5342a1bc9b923099ad,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,68,10,24,33,1
2024-2025,30011545,Isen Formación Universitaria,,59efebe22173b71d92ece49fc5579035,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Doble Grado,fba30e9ec1935ca7d36277ba76dddbba,7000971,Educación Infantil y Educación Primaria (Isen),,c7014aff1331bca6f922f2d097788105,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,28,1,7,15,4
2024-2025,30013992,Facultad de Ciencias Sociosanitarias,,a7512303bb72ec2d6ffcdfabcf24b51a,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2504343,Occupational therapy after stroke,https://www.wikidata.org/entity/Q16638928,c35e64977d8ac67f842009519cba1ca2,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,24,1,14,9,0
2024-2025,30011821,Facultad de Enfermería. Sede Cartagena,,62c15a937d51d701715121c633aa3e64,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Cartagena),,721f58a3315fb0424738c5a895eb0f12,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,45,0,0,8,33
2024-2025,30008224,faculty of law,https://www.wikidata.org/entity/Q3488547,288d0da066d511cc53b58999dd5950b6,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500815,criminology,https://www.wikidata.org/entity/Q161733,f667dffbe058d4556886e18e640ea090,Ciencias Sociales y Jurídicas,03b7c4d6f22bd8efa1659d8e6a06d97e,53,0,0,39,12
2024-2025,30008236,faculty of humanities,https://www.wikidata.org/entity/Q12011063,fe7c0e584bd8d76dcb030562f0171861,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2503733,translation and interpretation,https://www.wikidata.org/entity/Q11704681,27fa8dcb8e82e10e9b99cb8ec314058b,Artes y Humanidades,72ceb55b13672d5fdbac7ce07f1e85a8,90,0,5,29,54
2024-2025,30011405,Facultad de Veterinaria,https://www.wikidata.org/entity/Q5855167,c32208051f1829034017263f4b4d204d,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500376,food technology,https://www.wikidata.org/entity/Q1039642,242d78799214478ef9095fcd2d7737c7,Ingeniería y Arquitectura,0957ac6a7296b4e6ef4d4e8d25691025,33,1,10,20,1
2024-2025,30011821,nursing school,https://www.wikidata.org/entity/Q446901,a63382c4550cc808ac171ccc700326e7,University of Murcia,https://www.wikidata.org/entity/Q1236345,f5636bc297db763f969bab88b5492ba3,Grado,d6d85d89b4612501521435bd3f620a9a,2500942,Enfermería (Murcia),,a32129c4a2711e3f5675ec0cdfe170b4,Ciencias de la Salud,afc4b5d3b7e78e8fb66cf859c95aaefe,168,0,0,0,156
