Academic Year,UniversityID,DegreeID,Degree,sameAsWikidata,sameAs,Ambit-id,AcademicLevelId,Credits,Offered Credits
2024-25,a62a164f781be26dd225dfda47b78c12,c3bf0872c66988b882d13d23fd540acc,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,RELACIONES LABORALES Y DESARROLLO DE RECURSOS HUMANOS,,03b7c4d6f22bd8efa1659d8e6a06d97e,d6d85d89b4612501521435bd3f620a9a,240,291
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,INGENIERIA ELECTRICA,electrical engineering,https://www.wikidata.org/wiki/Q43035,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,271.5
2024-25,a62a164f781be26dd225dfda47b78c12,3a8aa47b6b1c1e5aa2bcd01f24ced891,INGENIERIA MECANICA,mechanical engineering,https://www.wikidata.org/wiki/Q101333,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,271.5
2024-25,a62a164f781be26dd225dfda47b78c12,f5c3abd4a31cda52ab09ea91498e3d1f,INGENIERIA MINERA Y ENERGETICA,INGENIERIA MINERA Y ENERGETICA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,288
2024-25,a62a164f781be26dd225dfda47b78c12,b9f1f54140aae74012dc5768ba59c3cc,INGENIERIA INFORMATICA,computer engineering,https://www.wikidata.org/wiki/Q428691,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,498
2024-25,a62a164f781be26dd225dfda47b78c12,f0d97bfc519bf192897d09e29d1c537d,ENOLOGIA,oenology,https://www.wikidata.org/wiki/Q297672,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,020abbaeb3455045b900a89c8a695ec3,INGENIERIA AGRICOLA Y AGROALIMENTARIA,INGENIERIA AGRICOLA Y AGROALIMENTARIA,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,334.5
2024-25,a62a164f781be26dd225dfda47b78c12,1a200709326382531526481104fbe329,INGENIERIA CIVIL Y TERRITORIAL,INGENIERIA CIVIL Y TERRITORIAL,,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,246
2024-25,a62a164f781be26dd225dfda47b78c12,15d30e6e472f20a004e9bc665d540ba6,MATEMATICAS,mathematics,https://www.wikidata.org/wiki/Q395,cca488c1d5d31aa9a4c4356b47f75ebd,d6d85d89b4612501521435bd3f620a9a,240,120
2024-25,a62a164f781be26dd225dfda47b78c12,c8b05a3e95265c905506a96507dbb560,INGENIERIA ELECTRICA,electrical engineering,https://www.wikidata.org/wiki/Q43035,0957ac6a7296b4e6ef4d4e8d25691025,d6d85d89b4612501521435bd3f620a9a,240,270
